Date,Open,High,Low,Close,Volume
08/21/2024,"103.20","104.72","102.97","104.60","1,013,401"
08/20/2024,"102.97","103.29","102.28","102.80","700,724"
08/19/2024,"102.54","103.47","102.36","103.00","865,195"
08/16/2024,"102.31","102.90","101.53","102.55","801,677"
08/15/2024,"101.43","102.35","100.95","101.65","1,076,510"
08/14/2024,"97.99","101.04","97.99","100.90","1,239,143"
08/13/2024,"98.56","98.56","96.81","97.73","848,594"
08/12/2024,"98.43","99.28","97.78","97.97","740,707"
08/09/2024,"98.40","98.95","97.87","98.79","737,449"
08/08/2024,"96.43","98.71","96.15","98.40","1,091,827"
08/07/2024,"96.37","97.97","96.35","96.80","1,537,303"
08/06/2024,"96.22","97.67","96.22","96.64","1,402,003"
08/05/2024,"100.33","100.57","94.41","96.06","2,599,979"
08/02/2024,"96.95","99.39","96.52","98.67","3,584,653"
08/01/2024,"96.18","97.22","94.08","97.10","2,039,986"
07/31/2024,"100.17","100.57","94.77","95.78","2,449,662"
07/30/2024,"97.57","99.08","97.50","98.20","1,506,017"
07/29/2024,"96.91","97.81","96.65","97.01","1,131,101"
07/26/2024,"94.89","97.87","94.56","96.91","1,108,464"
07/25/2024,"96.72","96.86","94.17","94.47","1,366,761"
07/24/2024,"97.00","97.53","96.24","96.40","1,002,374"
07/23/2024,"97.12","97.42","96.07","96.23","605,328"
07/22/2024,"96.13","97.23","95.79","96.57","972,987"
07/19/2024,"98.62","98.82","95.78","96.10","1,029,054"
07/18/2024,"97.84","99.20","97.69","98.24","912,290"
07/17/2024,"97.94","98.63","97.48","97.87","1,049,224"
07/16/2024,"97.16","98.27","96.86","97.11","1,100,037"
07/15/2024,"96.55","98.28","96.51","97.16","1,271,360"
07/12/2024,"97.31","97.64","96.44","96.50","1,557,504"
07/11/2024,"97.40","97.57","95.71","97.00","1,702,311"
07/10/2024,"98.20","98.39","97.32","97.50","1,047,915"
07/09/2024,"98.17","99.05","97.93","98.00","1,460,668"
07/08/2024,"98.57","99.57","98.24","98.26","1,335,144"
07/05/2024,"97.88","98.37","97.08","98.15","1,411,057"
07/03/2024,"99.92","100.20","97.34","97.65","1,279,956"
07/02/2024,"100.11","100.33","99.09","100.00","1,249,456"
07/01/2024,"101.97","102.34","100.58","100.65","1,344,724"
06/28/2024,"100.60","101.37","99.59","100.89","3,818,454"
06/27/2024,"100.24","101.22","99.24","101.02","1,227,596"
06/26/2024,"101.44","101.65","99.09","99.77","1,370,634"
06/25/2024,"102.52","103.44","101.93","102.15","879,702"
06/24/2024,"101.89","102.74","101.22","102.43","1,431,004"
06/21/2024,"102.33","102.44","100.61","101.89","4,271,267"
06/20/2024,"101.10","102.51","101.02","102.45","1,530,750"
06/18/2024,"99.70","101.52","99.32","100.80","1,489,012"
06/17/2024,"97.18","99.71","97.14","99.21","1,176,580"
06/14/2024,"98.40","99.38","97.14","97.26","1,638,616"
06/13/2024,"99.23","99.41","97.66","99.15","1,105,443"
06/12/2024,"99.65","99.74","97.61","99.16","1,290,340"
06/11/2024,"100.29","100.34","99.10","99.58","1,530,151"
06/10/2024,"100.44","100.91","99.67","100.58","955,690"
06/07/2024,"100.68","101.56","100.41","100.57","803,535"
06/06/2024,"100.38","101.00","99.62","100.08","1,132,982"
06/05/2024,"100.57","101.12","98.96","99.68","1,480,068"
06/04/2024,"101.93","102.30","100.04","100.86","1,217,624"
06/03/2024,"102.50","103.08","100.47","101.70","1,747,081"
05/31/2024,"101.44","103.48","101.35","102.63","10,178,650"
05/30/2024,"101.32","103.03","101.02","101.41","2,421,939"
05/29/2024,"102.35","102.74","101.30","101.55","1,368,069"
05/28/2024,"102.63","103.08","102.06","102.25","1,722,471"
05/24/2024,"102.41","103.39","102.19","103.36","1,296,861"
05/23/2024,"102.95","103.79","101.10","101.93","1,685,079"
05/22/2024,"102.01","103.30","101.94","102.70","1,994,766"
05/21/2024,"100.75","102.41","100.56","101.65","1,681,073"
05/20/2024,"101.03","101.26","100.14","100.17","1,399,074"
05/17/2024,"99.27","101.28","99.27","100.99","1,484,877"
05/16/2024,"98.50","99.37","98.45","98.82","1,179,524"
05/15/2024,"97.38","98.39","97.32","97.87","1,474,393"
05/14/2024,"97.83","98.31","97.29","97.90","1,137,731"
05/13/2024,"100.11","100.33","97.84","97.91","1,171,209"
05/10/2024,"100.21","100.86","99.75","100.05","1,420,422"
05/09/2024,"98.76","99.64","98.54","99.63","859,741"
05/08/2024,"98.21","99.70","98.21","98.93","1,321,462"
05/07/2024,"97.65","98.54","97.04","98.21","1,316,246"
05/06/2024,"94.76","97.17","94.76","97.14","1,227,626"
05/03/2024,"94.82","95.59","92.78","94.41","1,696,539"
05/02/2024,"95.73","96.44","94.50","95.17","1,458,032"
05/01/2024,"93.63","96.58","93.63","95.80","2,578,318"
04/30/2024,"92.50","94.04","90.55","93.54","3,310,895"
04/29/2024,"90.80","91.64","90.61","91.25","2,812,186"
04/26/2024,"92.11","92.43","90.78","90.90","1,458,046"
04/25/2024,"93.04","93.46","92.39","93.05","1,181,605"
04/24/2024,"93.27","93.67","92.71","93.19","1,257,451"
04/23/2024,"94.09","94.37","93.45","93.78","1,459,376"
04/22/2024,"93.66","94.60","93.00","93.85","1,276,015"
04/19/2024,"91.89","92.97","90.91","92.93","1,527,630"
04/18/2024,"91.32","91.92","90.89","91.39","1,408,007"
04/17/2024,"90.63","90.94","89.94","90.63","1,015,984"
04/16/2024,"90.25","91.19","89.60","90.86","1,688,714"
04/15/2024,"91.14","91.85","89.75","89.76","1,762,686"
04/12/2024,"91.31","91.72","89.23","89.98","1,454,980"
04/11/2024,"91.49","92.02","90.91","91.31","1,369,355"
04/10/2024,"91.34","92.64","91.16","92.19","1,267,398"
04/09/2024,"94.46","94.77","90.70","91.22","2,371,093"
04/08/2024,"94.83","94.97","93.72","94.55","1,371,960"
04/05/2024,"92.00","95.01","91.65","94.90","2,591,481"
04/04/2024,"92.19","92.64","90.83","91.09","1,466,502"
04/03/2024,"91.49","92.46","91.49","92.23","1,451,451"
04/02/2024,"92.57","92.93","91.24","91.49","1,674,932"
04/01/2024,"92.60","93.12","91.90","92.31","1,361,237"
03/28/2024,"91.92","92.57","91.17","92.44","2,462,980"
03/27/2024,"91.03","91.74","90.83","91.48","3,025,533"
03/26/2024,"90.94","91.56","90.22","90.59","1,945,949"
03/25/2024,"90.86","91.33","90.01","90.99","2,071,177"
03/22/2024,"90.83","90.84","89.95","90.68","1,888,918"
03/21/2024,"91.88","91.95","90.51","90.69","2,040,349"
03/20/2024,"91.59","92.58","91.30","92.23","1,681,637"
03/19/2024,"91.77","91.86","91.11","91.67","1,581,049"
03/18/2024,"91.38","91.75","90.75","91.40","1,446,960"
03/15/2024,"90.49","92.01","90.49","91.88","3,505,550"
03/14/2024,"91.20","91.55","90.46","91.03","1,424,663"
03/13/2024,"91.19","91.57","90.51","91.00","1,592,209"
03/12/2024,"90.31","90.97","89.73","90.92","1,886,526"
03/11/2024,"87.61","90.49","87.61","90.31","2,107,867"
03/08/2024,"87.55","88.05","87.01","87.61","1,208,630"
03/07/2024,"88.60","88.90","87.26","87.69","2,051,299"
03/06/2024,"87.39","88.89","86.84","88.82","1,337,576"
03/05/2024,"87.40","88.38","87.06","87.39","1,201,998"
03/04/2024,"87.17","87.56","86.56","87.14","1,051,780"
03/01/2024,"87.20","87.69","86.80","87.17","1,225,926"
02/29/2024,"88.09","88.13","86.41","87.59","3,310,014"
02/28/2024,"87.38","88.47","87.10","88.28","1,247,782"
02/27/2024,"87.13","87.31","86.16","87.22","1,817,006"
02/26/2024,"87.14","88.13","86.84","87.28","1,548,613"
02/23/2024,"85.91","87.34","85.79","87.29","1,696,457"
02/22/2024,"85.00","85.94","84.00","85.82","1,721,754"
02/21/2024,"86.23","86.25","83.97","84.71","1,825,402"
02/20/2024,"86.03","86.09","85.13","85.37","1,871,944"
02/16/2024,"88.42","88.77","86.02","86.11","2,370,393"
02/15/2024,"86.43","88.44","84.80","87.40","2,431,239"
02/14/2024,"84.00","85.37","83.91","84.87","2,336,148"
02/13/2024,"83.33","84.45","83.12","84.06","1,586,140"
02/12/2024,"83.58","83.61","82.75","83.10","1,375,305"
02/09/2024,"82.35","83.52","81.59","83.46","1,130,943"
02/08/2024,"83.97","84.24","80.97","82.76","1,897,703"
02/07/2024,"83.38","84.72","83.03","84.42","1,385,323"
02/06/2024,"83.98","84.15","83.17","83.30","1,307,161"
02/05/2024,"83.02","83.91","82.87","83.66","1,804,127"
02/02/2024,"83.16","83.64","82.60","83.30","1,514,721"
02/01/2024,"81.58","82.33","81.06","82.09","1,841,546"
01/31/2024,"80.99","82.78","80.98","82.43","2,325,832"
01/30/2024,"79.62","80.65","79.51","80.58","1,036,857"
01/29/2024,"79.27","79.83","79.00","79.73","1,323,506"
01/26/2024,"79.79","80.13","79.25","79.90","1,321,863"
01/25/2024,"80.00","80.48","78.67","79.60","1,620,850"
01/24/2024,"80.95","80.97","80.04","80.13","1,486,684"
01/23/2024,"80.43","81.02","80.01","80.34","1,178,691"
01/22/2024,"81.01","81.29","80.30","80.47","1,641,498"
01/19/2024,"79.66","81.37","79.66","80.88","1,996,987"
01/18/2024,"77.68","79.06","77.53","78.96","1,801,940"
01/17/2024,"77.94","79.29","77.94","78.67","1,439,554"
01/16/2024,"78.53","78.63","77.55","78.17","1,468,300"
01/12/2024,"77.73","78.10","77.06","77.69","1,212,094"
01/11/2024,"77.25","77.72","76.82","77.62","1,314,935"
01/10/2024,"76.24","77.31","76.24","76.96","1,587,610"
01/09/2024,"76.82","77.03","74.85","76.15","1,839,084"
01/08/2024,"77.15","77.30","75.72","77.12","1,484,645"
01/05/2024,"77.65","78.00","76.49","76.81","2,073,991"
01/04/2024,"77.72","78.46","77.30","77.47","1,945,813"
01/03/2024,"75.91","77.66","75.75","76.94","2,213,929"
01/02/2024,"74.61","75.74","74.28","75.55","1,859,755"
12/29/2023,"73.93","74.53","73.58","74.27","1,332,313"
12/28/2023,"73.72","74.27","73.51","74.06","1,336,431"
12/27/2023,"73.25","73.62","73.04","73.54","950,850"
12/26/2023,"74.00","74.00","73.19","73.51","1,158,574"
12/22/2023,"74.22","74.55","73.50","73.84","1,303,434"
12/21/2023,"73.41","74.23","73.20","74.16","1,781,576"
12/20/2023,"74.43","74.57","73.33","73.61","1,564,199"
12/19/2023,"74.68","75.11","74.36","74.83","1,953,957"
12/18/2023,"74.89","75.23","73.57","74.65","1,849,617"
12/15/2023,"74.33","74.80","72.85","73.42","4,577,845"
12/14/2023,"77.98","78.00","74.01","74.67","3,856,340"
12/13/2023,"80.15","80.37","77.94","78.38","2,106,489"
12/12/2023,"79.77","80.79","79.54","80.28","1,372,193"
12/11/2023,"79.33","80.74","79.33","79.61","1,320,031"
12/08/2023,"78.68","79.39","78.32","79.30","1,372,916"
12/07/2023,"80.02","80.43","78.20","78.34","2,321,737"
12/06/2023,"82.20","82.47","79.27","79.97","1,797,032"
12/05/2023,"82.01","82.50","81.28","81.85","1,211,267"
12/04/2023,"82.57","83.08","81.59","81.99","1,662,565"
12/01/2023,"83.70","84.53","82.54","82.63","1,659,888"
11/30/2023,"82.54","83.77","82.54","83.69","3,726,921"
11/29/2023,"84.11","84.39","82.10","82.38","2,218,506"
11/28/2023,"86.79","87.16","84.39","84.45","1,621,127"
11/27/2023,"86.64","87.44","86.24","87.00","1,842,579"
11/24/2023,"85.92","87.15","85.92","86.60","741,453"
11/22/2023,"86.06","86.87","85.00","85.95","1,807,550"
11/21/2023,"85.00","86.84","84.98","86.13","1,356,325"
11/20/2023,"83.60","84.73","83.51","84.46","1,762,502"
11/17/2023,"84.00","84.48","83.23","83.60","1,883,526"
11/16/2023,"83.08","84.60","82.78","83.71","1,932,545"
11/15/2023,"85.52","85.69","82.61","82.66","2,829,098"
11/14/2023,"86.60","86.74","84.84","85.50","1,872,676"
11/13/2023,"86.16","86.98","85.88","86.57","1,681,182"
11/10/2023,"85.10","86.14","84.67","85.95","2,070,175"
11/09/2023,"84.15","85.22","83.96","84.67","2,357,571"
11/08/2023,"85.30","85.97","83.56","84.12","1,692,323"
11/07/2023,"85.15","85.58","84.93","85.41","1,647,818"
11/06/2023,"85.80","85.95","84.50","85.16","2,864,490"
11/03/2023,"86.44","86.93","84.16","85.55","2,658,879"
11/02/2023,"89.68","90.29","85.10","85.94","3,406,895"
11/01/2023,"87.25","90.65","87.05","90.00","4,031,591"
10/31/2023,"85.21","87.50","85.00","86.68","2,964,700"
10/30/2023,"82.02","83.13","81.84","82.88","1,741,040"
10/27/2023,"82.07","82.20","81.01","81.36","1,360,314"
10/26/2023,"83.59","84.42","82.26","82.45","1,735,038"
10/25/2023,"83.37","85.53","83.27","83.49","1,387,293"
10/24/2023,"82.35","83.76","82.29","83.42","1,334,193"
10/23/2023,"83.19","83.68","81.86","81.86","1,183,706"
10/20/2023,"83.96","84.20","81.76","82.76","5,433,626"
10/19/2023,"85.48","86.37","83.77","83.78","1,736,079"
10/18/2023,"86.75","87.51","85.32","85.45","2,029,255"
10/17/2023,"85.44","87.14","85.44","86.62","1,935,570"
10/16/2023,"85.01","86.40","84.57","85.70","2,134,605"
10/13/2023,"83.66","84.46","83.17","84.16","1,962,315"
10/12/2023,"83.25","83.71","82.05","83.05","1,608,095"
10/11/2023,"82.00","83.11","81.65","83.02","1,480,263"
10/10/2023,"82.30","82.45","81.17","81.86","1,526,002"
10/09/2023,"81.90","82.25","81.19","82.07","1,174,066"
10/06/2023,"81.41","82.56","81.28","82.18","1,672,636"
10/05/2023,"80.89","81.81","80.70","81.64","1,680,606"
10/04/2023,"78.31","80.74","78.28","80.46","1,608,185"
10/03/2023,"79.26","79.49","77.18","77.96","1,631,896"
10/02/2023,"79.74","80.20","78.65","79.37","1,495,876"
09/29/2023,"81.72","81.81","79.47","79.71","3,340,878"
09/28/2023,"81.34","82.11","81.12","81.64","1,466,568"
